12116	12116
12187	12187
12260	12260
12778	12778
12984	12984
13113	13113
13601	13601
14101	14101
14117	14117
14518	14518
14842	14842
15149	15149
16080	16080
16457	16457
16807	16807
16972	16972
17768	17768
17912	17912
18211	18211
18219	18219
18484	18484
18685	18685
18917	18917
19048	19048
19428	19428
19672	19672
20046	20046
20049	20049
20179	20179
20288	20288
20415	20415
20438	20438
20474	20474
20581	20581
20624	20624
20834	20834
21042	21042
21723	21723
21829	21829
21848	21848
22086	22086
22522	22522
22535	22535
22766	22766
